OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
2750,S/K22/6,BHCB,110,216.569104123,3306.625,234.884944223913
2751,S/K22/6,BHCB,110,243.449587673,4488.060546875,263.797902598714
2752,S/K22/6,BHCB,80,328.102861941,7343.845703125,355.514141190188
2753,S/K22/6,BHCB,30,391.082116995,10425.474609375,423.863462750889
2754,S/K22/6,BHCB,176,463.04724206,12742.4140625,501.227432348364
2755,S/K22/6,BHCB,125,258.903175356,4705.791015625,280.713632289671
2756,S/K22/6,BHCB,15,102.534941956,770.07421875,111.105139029872
2757,S/K22/6,BHCB,90,318.398973137,7008.4453125,345.01989907597
2758,S/K22/6,BHCB,90,408.282913734,12467.484375,442.398942847945
2759,S/K22/6,BHCB,60,725.769735576,25522.806640625,786.364846735205
2760,S/K22/6,BHCB,40,379.538018705,8198.8046875,410.946609115482
2761,S/K22/6,BHCB,95,484.036246408,9021.619140625,524.459188897659
2762,S/K22/6,BHCB,110,205.358579034,2664.2734375,222.524227131872
2763,S/K22/6,BHCB,110,213.340246191,3351.70703125,231.204825691278
2764,S/K22/6,BHCB,110,209.001492322,3200.03515625,226.485920763078
2765,S/K22/6,BHCB,110,221.30098908,3572.541015625,239.80945723678
2766,S/K22/6,BHCB,110,194.815528818,2745.955078125,211.11139808771
2767,S/K22/6,BHCB,110,201.885788129,2928.546875,218.812303039494
2768,S/K22/6,BHCB,15,373.896421319,7096.091796875,404.667973079111
2769,S/K22/6,BHCB,120,363.801221162,8391.12109375,394.179611673215
2770,S/K22/6,BHCB,45,330.007818646,7676.31640625,357.593273316797
2771,S/K22/6,BHCB,55,1451.27276918,128471.4453125,1572.80346219821
2772,S/K22/6,BHCB,30,325.115340706,4677.052734375,352.213901423249
2773,S/K22/6,BHCB,100,1035.40070351,69611.7578125,1121.58673805435
2774,S/K22/6,BHCB,35,1893.11360354,90783.916015625,2050.90509178051
2775,S/K22/6,BHCB,13,357.792944537,9751.44140625,387.559258811957
2776,S/K22/6,BHCB,15,236.287929432,3670.26953125,256.039533363189
2777,S/K22/6,BHCB,60,271.921542894,5350.62109375,294.66791527645
2778,S/K22/6,BHCB,45,514.726360919,16038.259765625,557.737356612454
2779,S/K22/6,BHCB,120,993.456053857,67175.603515625,1076.86973705994
2780,S/K22/6,BHCB,15,79.6738169936,339.91796875,86.4161186241078
2781,S/K22/6,BHCB,100,298.524710533,5505.98828125,323.396988633419
2782,S/K22/6,BHCB,45,200.956061586,2890.318359375,217.740812512361
2783,S/K22/6,BHCB,15,186.340560681,1686.25,201.970923601603
2784,S/K22/6,BHCB,15,50.1582256724,117.96484375,54.3399359722474
2785,S/K22/6,BHCB,100,610.452663198,17282.669921875,661.507629875707
2786,S/K22/6,BHCB,45,261.193944846,4811.732421875,283.092956386323
2787,S/K22/6,BHCB,150,390.443364208,11397.98828125,423.218255295972
2788,S/K22/6,BHCB,15,221.664461475,3237.34765625,240.173457237065
2789,S/K22/6,BHCB,15,458.545144781,9215.630859375,496.934792179744
2790,S/K22/6,BHCB,100,239.558297705,4095.1015625,259.568312001256
2791,S/K22/6,BHCB,100,226.327275624,3654.802734375,245.256471857071
