OBJECTID,PLAN_NO,ZONE_LABEL,DESC_ENG,DESC_CHT,SPUSE_ENG,SPUSE_CHT,SHAPE_Leng,Shape__Area,Shape__Area_2,Shape__Length_2
2585,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,356.863422132,10752.0390625,10752.0390625,386.472534655138
2586,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,202.364338376,3070.09375,3070.09375,219.148472215255
2587,S/H8/26,O,Open Space,休憩用地, , ,88.5999507063,583.94921875,583.94921875,96.0064347231021
2588,S/H8/26,CDA(2),Comprehensive Development Area (2),綜合發展區(2), , ,329.471838208,7065.234375,7065.234375,357.089897872848
2589,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,260.914039831,4311.22265625,4311.22265625,282.395003108122
2590,S/H8/26,CDA(1),Comprehensive Development Area (1),綜合發展區(1), , ,335.197946667,8104.685546875,8104.685546875,363.154162557036
2591,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,350.164697511,4185.796875,4185.796875,378.879476690624
2592,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,473.00059399,8177.689453125,8177.689453125,511.49063142685
2593,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,308.660681128,6317.703125,6317.703125,334.372176526096
2594,S/H8/26,O,Open Space,休憩用地, , ,251.091549946,4180.900390625,4180.900390625,271.779955512701
2595,S/H8/26,O,Open Space,休憩用地, , ,103.476771794,757.44140625,757.44140625,112.139879404439
2596,S/H8/26,R(A)1,Residential (Group A) 1,住宅(甲類)1, , ,327.294971928,5361.1953125,5361.1953125,354.609535976729
2597,S/H8/26,O,Open Space,休憩用地, , ,416.608996865,9954.853515625,9954.853515625,450.985690388632
2598,S/H8/26,O,Open Space,休憩用地, , ,146.554115833,822.59375,822.59375,159.0013613547
2599,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,309.51888339,5808.671875,5808.671875,335.336738186424
2600,S/H8/26,OU,Other Specified Uses,其他指定用途,PIER,碼頭,368.532756547,4613.279296875,4613.279296875,399.870444242236
2601,S/H8/26,R(B),Residential (Group B),住宅(乙類), , ,233.938449517,3188.880859375,3188.880859375,253.409406797577
2602,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,251.037103348,4160.482421875,4160.482421875,271.708491334399
2603,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,322.235861279,5154.685546875,5154.685546875,348.756941402112
2604,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,156.785119617,1667.72265625,1667.72265625,169.872343065817
2605,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,354.308749055,7039.34765625,7039.34765625,383.485151778452
2606,S/H8/26,O,Open Space,休憩用地, , ,1566.51802341,22455.396484375,22455.396484375,1696.73730758853
2607,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,195.323014479,2776.447265625,2776.447265625,211.647206908062
